jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10022,0.0,0.007,0.0,0.007,0.05
10023,0.0,0.01,0.0,0.007,0.05
10024,0.0,0.007,0.007,0.007,0.05
10026,0.0,0.01,0.0,0.007,0.05
10027,0.0,0.013,0.0,0.007,0.05
10320,0.0,0.003,0.0,0.056,0.051
10442,0.0,0.003,0.0,0.042,0.056
10477,0.0,0.003,0.0,0.042,0.056
10478,0.0,0.003,0.0,0.042,0.056
10479,0.0,0.003,0.0,0.042,0.056
10480,0.0,0.003,0.0,0.042,0.056
10485,0.0,0.003,0.0,0.042,0.056
10489,0.0,0.003,0.0,0.042,0.056
10490,0.0,0.003,0.0,0.014,0.056
10491,0.0,0.003,0.0,0.014,0.056
10492,0.0,0.003,0.014,0.014,0.056
10493,0.0,0.003,0.029,0.028,0.056
10494,0.0,0.003,0.029,0.014,0.056
10495,0.0,0.007,0.0,0.028,0.056
10496,0.0,0.003,0.029,0.028,0.056
10498,0.0,0.007,0.0,0.056,0.056
10503,0.0,0.003,0.114,0.028,0.056
10512,0.0,0.003,0.0,0.056,0.056
10515,0.0,0.003,0.114,0.028,0.056
10516,0.0,0.003,0.0,0.014,0.056
10517,0.0,0.003,0.0,0.028,0.056
10518,0.0,0.003,0.0,0.014,0.056
10519,0.0,0.003,0.0,0.042,0.056
10520,0.0,0.003,0.0,0.042,0.056
10521,0.0,0.003,0.0,0.042,0.056
10522,0.0,0.003,0.0,0.014,0.056
10523,0.0,0.003,0.0,0.056,0.056
10524,0.0,0.003,0.0,0.042,0.056
10525,0.0,0.003,0.0,0.056,0.056
10526,0.0,0.003,0.0,0.042,0.056
10527,0.0,0.003,0.0,0.042,0.056
10528,0.0,0.003,0.0,0.042,0.056
10529,0.0,0.003,0.0,0.042,0.056
10531,0.0,0.003,0.114,0.042,0.056
10532,0.0,0.003,0.0,0.042,0.056
10533,0.0,0.003,0.0,0.042,0.056
10534,0.0,0.003,0.0,0.042,0.056
10535,0.0,0.003,0.0,0.042,0.056
10536,0.0,0.003,0.0,0.042,0.056
10537,0.0,0.003,0.0,0.042,0.056
10538,0.0,0.003,0.0,0.042,0.056
10539,0.0,0.003,0.0,0.042,0.056
10540,0.0,0.003,0.0,0.028,0.056
10541,0.0,0.003,0.0,0.007,0.056
10542,0.0,0.003,0.007,0.007,0.056
10543,0.0,0.007,0.007,0.007,0.056
10544,0.0,0.003,0.021,0.007,0.056
10545,0.0,0.007,0.021,0.007,0.056
10546,0.0,0.007,0.029,0.007,0.056
10547,0.0,0.007,0.036,0.007,0.056
10548,0.0,0.01,0.036,0.007,0.056
10549,0.0,0.007,0.05,0.007,0.056
10550,0.0,0.007,0.057,0.007,0.056
10551,0.0,0.01,0.057,0.007,0.056
10552,0.0,0.007,0.071,0.007,0.056
10553,0.0,0.007,0.079,0.007,0.056
10554,0.0,0.01,0.079,0.007,0.056
10555,0.0,0.003,0.1,0.007,0.056
10556,0.0,0.007,0.1,0.007,0.056
10557,0.0,0.01,0.1,0.007,0.056
10558,0.0,0.013,0.1,0.007,0.056
10559,0.0,0.016,0.1,0.007,0.056
10560,0.0,0.02,0.1,0.007,0.056
10561,0.0,0.016,0.107,0.007,0.056
10562,0.0,0.02,0.107,0.007,0.056
10615,0.0,0.003,0.114,0.014,0.056
10616,0.0,0.003,0.114,0.028,0.056
10617,0.001,0.003,0.086,0.042,0.056
10618,0.0,0.003,0.043,0.014,0.056
10619,0.0,0.003,0.043,0.028,0.056
10620,0.0,0.003,0.043,0.028,0.056
10621,0.0,0.003,0.043,0.028,0.056
10622,0.0,0.003,0.043,0.028,0.056
10623,0.0,0.003,0.0,0.042,0.056
10624,0.0,0.003,0.043,0.014,0.056
10625,0.0,0.003,0.057,0.007,0.056
10626,0.0,0.003,0.064,0.007,0.056
10627,0.0,0.007,0.064,0.007,0.056
10628,0.0,0.01,0.064,0.007,0.056
10629,0.0,0.007,0.079,0.007,0.056
10630,0.0,0.007,0.071,0.007,0.056
10631,0.0,0.01,0.071,0.007,0.056
10632,0.0,0.007,0.086,0.007,0.056
10633,0.0,0.007,0.093,0.014,0.056
10634,0.0,0.01,0.093,0.007,0.056
10635,0.0,0.013,0.093,0.007,0.056
10636,0.0,0.01,0.107,0.007,0.056
10704,0.0,0.003,0.057,0.042,0.056
10705,0.0,0.007,0.057,0.014,0.056
10706,0.0,0.003,0.0,0.042,0.056
10707,0.0,0.003,0.043,0.028,0.056
10708,0.0,0.003,0.043,0.014,0.056
10709,0.0,0.003,0.043,0.014,0.056
10710,0.0,0.003,0.057,0.042,0.056
10711,0.0,0.003,0.086,0.056,0.056
10712,0.0,0.003,0.086,0.056,0.056
10713,0.0,0.003,0.086,0.056,0.056
10714,0.0,0.003,0.086,0.028,0.056
10715,0.0,0.003,0.043,0.042,0.056
10716,0.0,0.003,0.0,0.028,0.056
10717,0.0,0.003,0.029,0.028,0.056
10718,0.0,0.003,0.0,0.028,0.056
10719,0.0,0.007,0.0,0.007,0.056
10720,0.0,0.003,0.0,0.042,0.056
10721,0.0,0.007,0.0,0.014,0.056
10722,0.0,0.003,0.043,0.028,0.056
10723,0.0,0.003,0.043,0.028,0.056
10724,0.0,0.003,0.043,0.056,0.056
10725,0.0,0.003,0.043,0.042,0.056
10726,0.0,0.003,0.086,0.056,0.056
10727,0.0,0.003,0.0,0.056,0.056
10728,0.0,0.003,0.0,0.056,0.056
10729,0.0,0.003,0.0,0.056,0.056
10730,0.0,0.003,0.0,0.056,0.056
10731,0.0,0.003,0.057,0.007,0.056
10732,0.0,0.007,0.057,0.007,0.056
10733,0.0,0.003,0.064,0.007,0.056
10734,0.0,0.007,0.064,0.007,0.056
10735,0.0,0.01,0.064,0.007,0.056
10737,0.0,0.003,0.114,0.028,0.056
10738,0.0,0.003,0.0,0.007,0.056
10739,0.0,0.003,0.007,0.007,0.056
10740,0.0,0.007,0.0,0.007,0.056
10741,0.0,0.01,0.0,0.007,0.056
10742,0.0,0.007,0.014,0.007,0.056
10743,0.0,0.007,0.021,0.007,0.056
10744,0.0,0.01,0.021,0.007,0.056
10745,0.0,0.013,0.021,0.007,0.056
10746,0.0,0.007,0.043,0.007,0.056
10747,0.0,0.01,0.043,0.007,0.056
10748,0.0,0.013,0.043,0.007,0.056
10749,0.0,0.007,0.064,0.007,0.056
10750,0.0,0.01,0.064,0.007,0.056
10751,0.0,0.01,0.071,0.007,0.056
10752,0.0,0.007,0.086,0.007,0.056
10753,0.0,0.01,0.086,0.007,0.056
