jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10006,0.0,0.002,0.606,0.007,0.003
10007,0.0,0.01,0.611,0.014,0.017
10057,0.0,0.002,0.606,0.028,0.003
10248,0.0,0.029,0.611,0.028,0.039
10249,0.0,0.032,0.611,0.007,0.039
10250,0.0,0.029,0.617,0.028,0.039
10254,0.0,0.027,0.575,0.007,0.039
10564,0.0,0.002,0.596,0.007,0.003
10565,0.0,0.002,0.596,0.007,0.003
10600,0.0,0.002,0.596,0.007,0.003
10602,0.0,0.002,0.596,0.007,0.003
10661,0.0,0.002,0.575,0.056,0.003
10662,0.0,0.002,0.585,0.069,0.003
10669,0.0,0.002,0.565,0.042,0.003
10678,0.0,0.002,0.575,0.056,0.003
10679,0.0,0.002,0.596,0.083,0.003
10705,0.0,0.012,0.575,0.056,0.044
10706,0.013,0.012,0.575,0.056,0.043
10707,0.008,0.015,0.575,0.056,0.043
10709,0.0,0.002,0.575,0.007,0.003
10710,0.0,0.002,0.575,0.007,0.003
10711,0.0,0.002,0.575,0.007,0.003
10764,0.0,0.002,0.632,0.007,0.003
10765,0.0,0.002,0.632,0.007,0.003
10766,0.0,0.002,0.627,0.007,0.003
10767,0.0,0.002,0.627,0.007,0.003
10768,0.0,0.002,0.632,0.007,0.003
10770,0.0,0.002,0.627,0.007,0.003
10771,0.0,0.002,0.627,0.007,0.003
10772,0.0,0.002,0.632,0.007,0.003
10776,0.0,0.002,0.632,0.007,0.003
10778,0.0,0.002,0.627,0.007,0.003
10779,0.0,0.002,0.575,0.007,0.003
10782,0.0,0.002,0.611,0.007,0.003
10784,0.0,0.002,0.617,0.007,0.003
10785,0.0,0.002,0.617,0.007,0.003
10787,0.0,0.002,0.617,0.007,0.003
10788,0.0,0.002,0.611,0.007,0.003
10790,0.0,0.002,0.575,0.007,0.003
10796,0.0,0.002,0.611,0.007,0.003
10797,0.0,0.002,0.617,0.028,0.003
10848,0.0,0.002,0.565,0.028,0.003
10922,0.0,0.002,0.611,0.007,0.003
10923,0.0,0.002,0.617,0.007,0.003
10926,0.0,0.029,0.575,0.035,0.042
10928,0.0,0.029,0.575,0.035,0.042
10929,0.0,0.029,0.575,0.035,0.042
10932,0.0,0.029,0.58,0.035,0.042
10947,0.001,0.002,0.596,0.056,0.003
10948,0.0,0.002,0.596,0.028,0.003
10949,0.0,0.034,0.596,0.007,0.042
10952,0.0,0.002,0.575,0.028,0.003
10953,0.0,0.002,0.575,0.028,0.003
10954,0.0,0.002,0.575,0.028,0.003
10955,0.0,0.002,0.56,0.007,0.003
10956,0.0,0.002,0.575,0.028,0.003
10960,0.0,0.002,0.56,0.007,0.003
10961,0.0,0.002,0.575,0.028,0.003
10962,0.0,0.002,0.56,0.007,0.003
10963,0.0,0.002,0.56,0.007,0.003
10967,0.001,0.002,0.57,0.035,0.022
10972,0.0,0.002,0.606,0.014,0.003
10973,0.0,0.002,0.606,0.014,0.003
10975,0.0,0.002,0.611,0.007,0.003
10976,0.0,0.002,0.611,0.007,0.003
10978,0.0,0.002,0.622,0.014,0.003
10980,0.0,0.002,0.622,0.014,0.021
10982,0.0,0.002,0.632,0.014,0.003
10983,0.0,0.002,0.627,0.028,0.021
10989,0.0,0.002,0.575,0.014,0.003
11003,0.0,0.002,0.591,0.007,0.003
11024,0.0,0.002,0.627,0.014,0.003
11026,0.0,0.002,0.622,0.014,0.003
11028,0.0,0.002,0.606,0.014,0.003
11029,0.0,0.002,0.606,0.014,0.003
11030,0.0,0.002,0.606,0.014,0.003
11031,0.0,0.002,0.596,0.014,0.003
11033,0.0,0.002,0.601,0.007,0.003
11034,0.0,0.002,0.601,0.007,0.003
11035,0.0,0.002,0.611,0.014,0.003
11036,0.0,0.002,0.606,0.014,0.003
11038,0.0,0.002,0.606,0.014,0.003
11039,0.0,0.002,0.596,0.014,0.003
11040,0.0,0.002,0.606,0.014,0.003
11042,0.0,0.005,0.596,0.014,0.021
11043,0.0,0.002,0.617,0.014,0.003
11044,0.0,0.002,0.606,0.014,0.003
11045,0.0,0.002,0.606,0.014,0.003
11046,0.0,0.002,0.606,0.014,0.003
11047,0.0,0.005,0.606,0.014,0.021
11048,0.0,0.002,0.606,0.014,0.003
11049,0.0,0.002,0.606,0.014,0.003
