jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10289,0.034,0.032,0.684,0.111,0.068
10330,0.043,0.032,0.679,0.222,0.068
10333,0.038,0.034,0.699,0.111,0.067
10336,0.0,0.037,0.679,0.222,0.067
10337,0.013,0.039,0.679,0.222,0.066
10369,0.001,0.025,0.679,0.278,0.039
10482,0.0,0.054,0.487,0.222,0.048
10498,0.0,0.059,0.43,0.222,0.048
10541,0.008,0.015,0.71,0.278,0.047
10545,0.019,0.056,0.642,0.208,0.061
10558,0.043,0.064,0.622,0.208,0.057
10567,0.033,0.061,0.72,0.111,0.049
10568,0.041,0.064,0.72,0.111,0.049
10571,0.0,0.069,0.725,0.222,0.049
10588,0.013,0.015,0.72,0.278,0.041
10590,0.065,0.002,0.72,0.222,0.018
10640,0.014,0.025,0.715,0.222,0.059
10664,0.0,0.002,0.658,0.167,0.003
10665,0.0,0.002,0.637,0.139,0.003
10667,0.0,0.002,0.648,0.153,0.003
10668,0.0,0.002,0.534,0.16,0.003
10670,0.0,0.002,0.674,0.146,0.003
10672,0.0,0.002,0.72,0.25,0.003
10673,0.0,0.002,0.658,0.167,0.003
10680,0.0,0.002,0.617,0.111,0.003
10681,0.0,0.017,0.534,0.222,0.043
10682,0.015,0.017,0.699,0.222,0.043
10686,0.064,0.002,0.544,0.222,0.018
10688,0.0,0.017,0.627,0.222,0.043
10690,0.041,0.012,0.699,0.111,0.06
10693,0.001,0.02,0.699,0.278,0.042
10697,0.041,0.012,0.674,0.111,0.062
10699,0.022,0.017,0.674,0.097,0.06
10701,0.015,0.017,0.653,0.222,0.057
10708,0.034,0.017,0.575,0.083,0.062
10726,0.064,0.002,0.658,0.222,0.018
10756,0.033,0.027,0.674,0.208,0.058
10773,0.0,0.034,0.632,0.222,0.057
10774,0.004,0.037,0.627,0.222,0.057
10775,0.0,0.039,0.627,0.208,0.057
10777,0.004,0.042,0.627,0.222,0.056
10780,0.0,0.022,0.58,0.111,0.042
10783,0.0,0.022,0.617,0.222,0.042
10791,0.017,0.049,0.58,0.222,0.055
10810,0.0,0.056,0.539,0.111,0.055
10817,0.037,0.056,0.539,0.222,0.055
10820,0.0,0.059,0.554,0.167,0.055
10827,0.041,0.059,0.534,0.111,0.054
10832,0.0,0.066,0.497,0.167,0.054
10837,0.0,0.027,0.497,0.222,0.042
10921,0.005,0.034,0.611,0.222,0.071
10927,0.0,0.042,0.575,0.208,0.065
10936,0.0,0.029,0.637,0.111,0.042
10939,0.006,0.032,0.534,0.222,0.042
10940,0.0,0.032,0.534,0.222,0.061
10957,0.043,0.027,0.554,0.208,0.068
10964,0.0,0.029,0.544,0.208,0.067
10970,0.0,0.032,0.596,0.208,0.066
10986,0.0,0.002,0.637,0.111,0.021
10998,0.0,0.044,0.503,0.222,0.064
11032,0.002,0.044,0.596,0.222,0.064
11041,0.0,0.002,0.596,0.111,0.021
11119,0.0,0.032,0.534,0.111,0.066
11120,0.02,0.002,0.606,0.111,0.019
11126,0.0,0.032,0.606,0.111,0.066
11129,0.091,0.005,0.617,0.222,0.019
11135,0.004,0.032,0.606,0.111,0.066
11198,0.005,0.034,0.549,0.111,0.059
11202,0.01,0.032,0.549,0.111,0.042
11207,0.016,0.032,0.549,0.111,0.056
11208,0.028,0.034,0.549,0.111,0.055
11212,0.005,0.032,0.58,0.111,0.062
11225,0.0,0.002,0.591,0.111,0.025
11242,0.005,0.034,0.591,0.111,0.059
11246,0.01,0.034,0.554,0.111,0.059
11260,0.005,0.005,0.565,0.139,0.023
11264,0.021,0.002,0.58,0.111,0.023
11268,0.005,0.044,0.58,0.111,0.06
11278,0.0,0.037,0.596,0.194,0.042
11317,0.018,0.034,0.56,0.222,0.063
11321,0.007,0.002,0.57,0.139,0.026
11323,0.033,0.039,0.57,0.208,0.063
11336,0.043,0.047,0.57,0.208,0.062
11339,0.057,0.029,0.57,0.139,0.043
11341,0.0,0.005,0.56,0.111,0.025
11344,0.031,0.032,0.56,0.111,0.043
11366,0.001,0.049,0.565,0.111,0.061
11388,0.0,0.007,0.58,0.111,0.022
11407,0.01,0.044,0.617,0.111,0.042
11415,0.0,0.071,0.632,0.111,0.06
11418,0.065,0.005,0.632,0.222,0.02
11419,0.0,0.064,0.622,0.222,0.061
11420,0.014,0.005,0.606,0.111,0.024
11421,0.006,0.007,0.622,0.139,0.023
11439,0.0,0.005,0.585,0.139,0.021
11463,0.0,0.042,0.58,0.111,0.064
11468,0.001,0.047,0.58,0.222,0.064
11478,0.001,0.044,0.591,0.111,0.063
11568,0.0,0.01,0.585,0.111,0.019
11574,0.007,0.007,0.591,0.111,0.019
11607,0.0,0.034,0.591,0.222,0.07
11608,0.011,0.037,0.591,0.111,0.07
11637,0.002,0.071,0.622,0.111,0.069
11638,0.002,0.074,0.622,0.111,0.069
11639,0.002,0.076,0.622,0.111,0.069
11640,0.002,0.078,0.622,0.111,0.069
11641,0.001,0.081,0.622,0.111,0.069
11642,0.001,0.083,0.622,0.111,0.069
11643,0.002,0.086,0.622,0.111,0.069
11644,0.001,0.088,0.622,0.111,0.069
11645,0.005,0.091,0.622,0.222,0.069
11646,0.002,0.093,0.622,0.222,0.069
11647,0.003,0.096,0.622,0.222,0.069
11679,0.0,0.005,0.601,0.111,0.019
11681,0.001,0.059,0.601,0.111,0.068
11683,0.005,0.005,0.575,0.111,0.019
11684,0.005,0.056,0.575,0.111,0.065
11687,0.0,0.064,0.57,0.111,0.065
11691,0.0,0.012,0.58,0.111,0.019
11710,0.0,0.061,0.57,0.222,0.068
11711,0.01,0.032,0.57,0.111,0.043
11719,0.033,0.066,0.554,0.111,0.068
11740,0.034,0.007,0.591,0.111,0.021
11757,0.005,0.074,0.591,0.111,0.067
11787,0.0,0.007,0.575,0.111,0.021
12014,0.0,0.002,0.611,0.139,0.003
12015,0.0,0.002,0.508,0.167,0.003
12017,0.0,0.002,0.591,0.111,0.003
12019,0.0,0.002,0.632,0.167,0.003
12020,0.0,0.002,0.632,0.167,0.003
12024,0.02,0.064,0.596,0.222,0.061
12042,0.0,0.002,0.591,0.111,0.003
12043,0.0,0.002,0.508,0.167,0.003
12053,0.0,0.002,0.497,0.167,0.003
12071,0.0,0.037,0.549,0.111,0.043
12081,0.0,0.002,0.622,0.111,0.004
12082,0.004,0.002,0.622,0.111,0.031
12089,0.0,0.042,0.632,0.222,0.068
12093,0.018,0.044,0.632,0.222,0.068
12094,0.035,0.007,0.632,0.222,0.02
12095,0.051,0.037,0.632,0.222,0.043
12096,0.006,0.039,0.632,0.222,0.043
12124,0.038,0.037,0.611,0.208,0.073
12139,0.0,0.007,0.611,0.111,0.02
12163,0.0,0.002,0.611,0.222,0.004
12164,0.0,0.002,0.611,0.222,0.004
12165,0.0,0.002,0.446,0.222,0.004
12172,0.0,0.002,0.611,0.111,0.004
12180,0.015,0.039,0.632,0.222,0.065
12198,0.003,0.002,0.632,0.111,0.022
12200,0.065,0.005,0.622,0.222,0.021
12201,0.0,0.029,0.518,0.222,0.062
