jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10560,0.007,0.064,0.705,0.444,0.055
11467,0.001,0.044,0.58,0.444,0.064
11648,0.02,0.098,0.622,0.444,0.069
11649,0.012,0.1,0.622,0.444,0.069
11650,0.015,0.103,0.622,0.444,0.069
11987,0.0,0.01,0.611,0.444,0.02
11988,0.0,0.012,0.611,0.444,0.02
11989,0.0,0.015,0.611,0.444,0.02
11990,0.0,0.017,0.611,0.444,0.02
11991,0.0,0.02,0.611,0.444,0.02
11992,0.0,0.022,0.611,0.444,0.02
11993,0.0,0.025,0.611,0.444,0.02
11995,0.0,0.027,0.611,0.444,0.02
11996,0.0,0.029,0.611,0.444,0.02
12091,0.004,0.005,0.632,0.444,0.022
12301,0.02,0.027,0.642,0.444,0.068
12302,0.007,0.029,0.642,0.444,0.068
12303,0.009,0.032,0.642,0.444,0.068
12626,0.001,0.032,0.56,0.444,0.022
12627,0.001,0.034,0.554,0.444,0.022
12669,0.004,0.01,0.622,0.444,0.034
12670,0.002,0.012,0.622,0.444,0.034
12671,0.001,0.015,0.622,0.444,0.034
12768,0.001,0.017,0.632,0.444,0.025
12769,0.001,0.02,0.632,0.444,0.025
12770,0.004,0.022,0.617,0.444,0.025
12771,0.002,0.025,0.617,0.444,0.025
12772,0.001,0.027,0.617,0.444,0.025
12959,0.003,0.002,0.58,0.444,0.024
12960,0.009,0.005,0.58,0.444,0.024
12961,0.002,0.007,0.58,0.444,0.024
14044,0.003,0.039,0.653,0.444,0.084
14332,0.006,0.005,0.658,0.444,0.038
14335,0.004,0.007,0.668,0.444,0.038
14336,0.003,0.01,0.658,0.444,0.038
14442,0.001,0.049,0.482,0.444,0.074
14464,0.002,0.049,0.513,0.444,0.076
14516,0.005,0.032,0.477,0.444,0.035
14588,0.006,0.015,0.497,0.444,0.028
14635,0.002,0.022,0.601,0.444,0.028
14636,0.003,0.025,0.601,0.444,0.028
14637,0.001,0.027,0.601,0.444,0.028
15135,0.002,0.051,0.617,0.625,0.078
