jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10285,0.001,0.056,0.244,0.208,0.047
10518,0.006,0.027,0.176,0.278,0.04
10522,0.01,0.061,0.332,0.222,0.048
10689,0.033,0.015,0.295,0.208,0.057
10795,0.014,0.022,0.404,0.278,0.042
10871,0.009,0.029,0.332,0.222,0.042
10881,0.0,0.034,0.161,0.222,0.042
10889,0.0,0.066,0.124,0.222,0.052
12618,0.001,0.017,0.223,0.444,0.022
12619,0.0,0.02,0.223,0.444,0.022
12620,0.0,0.022,0.223,0.444,0.022
12621,0.038,0.025,0.223,0.444,0.022
12622,0.039,0.027,0.223,0.444,0.022
12623,0.002,0.029,0.223,0.444,0.022
12625,0.001,0.032,0.228,0.444,0.022
12640,0.001,0.056,0.01,0.507,0.062
12641,0.001,0.059,0.01,0.5,0.062
13906,0.078,0.005,0.228,0.222,0.025
13926,0.033,0.051,0.176,0.208,0.068
13933,0.003,0.054,0.135,0.222,0.068
13934,0.001,0.054,0.259,0.222,0.068
13935,0.0,0.056,0.259,0.222,0.068
13936,0.0,0.056,0.052,0.222,0.068
14006,0.045,0.044,0.311,0.222,0.073
14037,0.001,0.047,0.155,0.222,0.071
14038,0.0,0.047,0.311,0.222,0.071
14039,0.0,0.047,0.145,0.222,0.071
14040,0.0,0.047,0.145,0.222,0.071
14041,0.003,0.047,0.145,0.222,0.071
14042,0.001,0.047,0.311,0.222,0.071
17105,0.061,0.071,0.052,0.444,0.09
18294,0.021,0.032,0.207,0.222,0.106
18324,0.001,0.049,0.212,0.444,0.099
18448,0.001,0.083,0.124,0.681,0.098
18449,0.001,0.086,0.124,0.681,0.098
18699,0.044,0.061,0.109,0.222,0.101
18827,0.068,0.064,0.078,0.444,0.101
19842,0.002,0.027,0.233,0.444,0.05
19843,0.002,0.029,0.233,0.444,0.05
19844,0.002,0.032,0.233,0.444,0.05
19845,0.002,0.034,0.233,0.444,0.05
19846,0.001,0.037,0.233,0.444,0.05
19847,0.001,0.039,0.233,0.444,0.05
19848,0.001,0.042,0.233,0.444,0.05
19849,0.002,0.044,0.233,0.444,0.05
19860,0.0,0.066,0.383,0.347,0.114
