jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10212,0.0,0.007,0.345,0.002,0.002
10213,0.0,0.007,0.346,0.002,0.002
10226,0.0,0.007,0.345,0.002,0.002
10227,0.0,0.007,0.346,0.002,0.002
10233,0.0,0.007,0.336,0.002,0.002
10234,0.0,0.007,0.324,0.002,0.002
10239,0.0,0.007,0.294,0.002,0.002
10240,0.0,0.007,0.293,0.002,0.002
10242,0.0,0.007,0.284,0.002,0.002
10243,0.0,0.007,0.294,0.002,0.002
10244,0.0,0.007,0.293,0.002,0.002
10250,0.0,0.007,0.126,0.002,0.002
10251,0.0,0.007,0.128,0.002,0.002
10253,0.0,0.007,0.128,0.002,0.002
10254,0.0,0.007,0.126,0.002,0.002
10265,0.0,0.007,0.116,0.002,0.002
10266,0.0,0.007,0.116,0.002,0.002
10267,0.0,0.007,0.117,0.002,0.002
10268,0.0,0.007,0.116,0.002,0.002
10274,0.0,0.007,0.105,0.002,0.002
10281,0.0,0.007,0.116,0.002,0.002
10282,0.0,0.007,0.107,0.002,0.002
10287,0.0,0.007,0.116,0.002,0.002
10288,0.0,0.007,0.116,0.002,0.002
10300,0.0,0.007,0.062,0.002,0.002
10302,0.0,0.007,0.053,0.002,0.002
10307,0.0,0.007,0.0,0.002,0.012
10308,0.0,0.007,0.0,0.05,0.012
10309,0.009,0.007,0.0,0.8,0.012
10310,0.008,0.007,0.0,0.8,0.014
10326,0.003,0.007,0.199,0.2,0.0
10416,0.0,0.007,0.37,0.003,0.002
10417,0.0,0.014,0.358,0.006,0.002
10618,0.0,0.007,0.26,0.002,0.002
10619,0.0,0.014,0.26,0.002,0.002
10623,0.0,0.007,0.086,0.002,0.002
10624,0.0,0.007,0.107,0.002,0.002
10628,0.0,0.007,0.104,0.002,0.002
10629,0.0,0.014,0.104,0.002,0.002
10656,0.0,0.007,0.169,0.002,0.002
10657,0.0,0.007,0.169,0.002,0.002
10659,0.0,0.007,0.189,0.002,0.002
10661,0.0,0.007,0.158,0.002,0.002
10662,0.0,0.007,0.158,0.002,0.002
10667,0.0,0.007,0.147,0.002,0.002
10668,0.0,0.007,0.138,0.002,0.002
10670,0.0,0.007,0.139,0.002,0.002
10671,0.0,0.007,0.139,0.002,0.002
10672,0.0,0.007,0.118,0.002,0.002
10673,0.0,0.007,0.117,0.002,0.002
10674,0.0,0.007,0.117,0.002,0.002
10675,0.0,0.014,0.116,0.002,0.002
10680,0.03,0.007,0.137,0.4,0.0
10681,0.021,0.014,0.137,0.4,0.0
10703,0.0,0.007,0.181,0.002,0.002
10710,0.0,0.007,0.096,0.002,0.002
10711,0.0,0.007,0.098,0.002,0.002
10712,0.0,0.007,0.098,0.002,0.002
10713,0.0,0.007,0.096,0.002,0.002
10714,0.013,0.007,0.095,0.4,0.0
10715,0.0,0.007,0.095,0.002,0.002
10788,0.0,0.007,0.336,0.006,0.002
10789,0.0,0.007,0.341,0.006,0.002
10790,0.0,0.007,0.333,0.002,0.002
10791,0.0,0.007,0.335,0.002,0.002
10793,0.0,0.007,0.336,0.002,0.002
10794,0.0,0.007,0.335,0.002,0.002
10795,0.0,0.014,0.333,0.002,0.002
10798,0.0,0.021,0.0,0.002,0.002
10800,0.0,0.035,0.0,0.1,0.0
10802,0.001,0.042,0.0,0.2,0.0
10804,0.001,0.049,0.0,0.1,0.0
10806,0.002,0.056,0.0,0.2,0.0
10809,0.0,0.062,0.0,0.1,0.0
10811,0.001,0.069,0.0,0.2,0.0
10813,0.0,0.076,0.0,0.1,0.0
10815,0.001,0.083,0.0,0.2,0.0
10817,0.002,0.09,0.0,0.1,0.0
10819,0.002,0.097,0.0,0.2,0.0
10821,0.0,0.104,0.0,0.1,0.0
10823,0.002,0.111,0.0,0.2,0.0
10825,0.002,0.118,0.0,0.1,0.0
10828,0.0,0.007,0.0,0.1,0.0
10829,0.0,0.014,0.0,0.1,0.0
10830,0.0,0.014,0.083,0.1,0.0
10831,0.0,0.021,0.083,0.1,0.0
10832,0.0,0.028,0.083,0.1,0.0
10833,0.0,0.035,0.083,0.1,0.0
