jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10000,1,2,22,1,7900055
10001,1,3,22,1,7900033
10002,0,3,23,1,7899968
10003,0,2,22,1,7899860
10004,0,3,22,1,7899838
10005,0,2,22,1,7899706
10006,0,2,22,1,7899662
10007,0,3,22,1,7899618
10008,0,1,22,1,7899486
10009,0,2,22,1,7899464
10010,1,3,22,1,7899420
10011,0,2,22,1,7899310
10012,0,2,22,1,7899245
10013,0,3,22,1,7899223
10014,1,2,22,1,7899113
10015,1,2,22,1,7899069
10016,1,3,22,1,7899025
10017,1,2,23,1,7898917
10018,1,2,22,1,7898852
10019,1,3,22,1,7898830
10020,1,4,22,1,7898764
10021,1,2,23,1,7898657
10022,1,2,0,1,7898613
10023,1,3,0,1,7898613
10024,0,2,1,1,7898615
10025,44682,2,0,22,7898616
10026,0,3,0,1,7898616
10027,1,4,0,1,7898616
10028,1,3,22,1,7943298
10029,1,2,22,1,7943255
10030,1,3,22,1,7943233
10031,1,2,23,1,7943125
10032,1,2,22,1,7943060
10033,1,3,22,1,7943038
10034,1,2,23,1,7942930
10035,1,2,22,1,7942865
10036,1,3,22,1,7942843
10037,1,2,23,1,7942735
10038,1,2,22,1,7942670
10039,1,3,22,1,7942648
10040,1,2,23,1,7942540
10041,1,2,22,1,7942475
10042,1,3,22,1,7942453
10043,1,2,23,1,7942345
10044,0,2,22,1,7942280
10045,1,3,22,1,7942258
10046,1,2,22,1,7942149
10047,0,2,22,1,7942084
10048,0,3,22,1,7942062
10049,1,2,22,1,7941953
10050,1,2,22,1,7941909
10051,1,3,22,1,7941865
10052,1,2,23,1,7941757
10053,1,2,22,1,7941692
10054,1,3,22,1,7941670
10055,1,2,23,1,7941562
10056,1,2,22,1,7941497
10057,1,3,22,1,7941475
10058,0,2,23,1,7941367
10059,0,2,22,1,7941302
10060,1,3,22,1,7941280
10061,0,2,22,1,7941170
10062,0,2,22,1,7941105
10063,0,3,22,1,7941083
10064,0,2,22,1,7940973
10065,0,2,22,1,7940929
10066,0,3,22,1,7940885
10067,384,1,22,32,7940753
10068,288,1,22,32,7939619
10069,288,1,22,32,7939511
10070,288,1,22,32,7939183
10071,384,1,22,32,7939075
10072,320,1,22,32,7939019
10073,0,1,22,1,7938987
10074,0,2,22,1,7932827
10075,0,1,22,1,7932717
10076,0,2,22,1,7932695
10077,1,2,22,1,7932629
10078,1,2,22,1,7932519
10079,1,3,22,1,7932475
10080,1,2,23,1,7932367
10081,0,2,22,1,7932302
10082,1,3,22,1,7932280
10083,1,2,22,1,7932171
10084,1,2,22,1,7932106
10085,1,3,22,1,7932084
10086,1,2,23,1,7931976
10087,1,2,22,1,7931911
10088,1,3,22,1,7931889
10089,1,2,23,1,7931781
10090,1,2,22,1,7931716
10091,1,3,22,1,7931694
10092,1,2,23,1,7931586
10093,1,2,22,1,7931521
10094,1,3,22,1,7931499
10095,1,2,23,1,7931391
10096,1,2,22,1,7931326
10097,1,3,22,1,7931304
10098,1,4,22,1,7931238
10099,1,2,23,1,7931131
10100,1,2,22,1,7931066
10101,1,3,22,1,7931044
10102,1,2,23,1,7930936
10103,1,2,22,1,7930871
10104,1,3,22,1,7930849
10105,1,2,23,1,7930741
10106,1,2,22,1,7930676
10107,1,3,22,1,7930654
10108,1,2,23,1,7930546
10109,1,2,22,1,7930481
10110,1,3,22,1,7930459
10111,0,2,23,1,7930351
10112,0,2,22,1,7930286
10113,0,3,22,1,7930264
10114,0,2,22,1,7930154
10115,0,2,22,1,7930132
10116,0,3,22,1,7930066
10117,1,2,22,1,7929956
10118,1,2,22,1,7929912
10119,1,3,22,1,7929868
10120,1,2,23,1,7929760
10121,1,2,22,1,7929695
10122,1,3,22,1,7929673
10123,1,2,23,1,7929565
10124,0,2,22,1,7929500
10125,1,3,22,1,7929478
10126,1,2,22,1,7929369
10127,0,2,22,1,7929304
10128,0,3,22,1,7929282
10129,1,2,22,1,7929173
10130,1,2,22,1,7929129
10131,1,3,22,1,7929085
10132,1,2,23,1,7928977
10133,1,2,22,1,7928912
10134,1,3,22,1,7928890
10135,1,2,23,1,7928782
10136,1,2,22,1,7928717
10137,1,3,22,1,7928695
10138,1,2,23,1,7928587
10139,0,2,22,1,7928522
10140,0,3,22,1,7928500
10141,0,2,22,1,7928391
10142,384,3,22,32,7928369
10143,1,3,22,1,7928347
10144,1,4,22,1,7928303
10145,1,3,54,1,7928577
10146,320,1,22,32,7927974
10147,256,1,22,32,7924312
10148,288,1,22,32,7924238
10149,0,1,22,1,7921138
10150,0,2,22,1,7916958
10151,1,2,22,1,7916892
10152,1,2,22,1,7916804
10153,1,3,22,1,7916760
10154,1,2,23,1,7916652
10155,1,2,22,1,7916587
10156,1,3,22,1,7916565
10157,1,2,23,1,7916457
10158,1,2,22,1,7916392
10159,1,3,22,1,7916370
10160,1,2,23,1,7916262
10161,0,2,22,1,7916197
10162,1,3,22,1,7916175
10163,0,2,22,1,7916066
10164,0,2,22,1,7916001
10165,0,3,22,1,7915979
10166,1,2,22,1,7915869
10167,0,2,22,1,7915825
10168,0,3,22,1,7915781
10169,1,2,22,1,7915672
10170,768,2,22,32,7915650
10171,0,3,22,1,7915606
10172,0,4,22,1,7915584
10173,1,1,54,1,7916211
10174,1,2,54,1,7916157
10175,1,3,54,1,7915995
10176,1,1,55,1,7915728
10177,1,2,54,1,7915620
10178,1,3,54,1,7915512
10179,1,1,55,1,7915245
10180,1,2,54,1,7915137
10181,0,3,22,1,7915007
10182,1,2,22,1,7914921
10183,1,3,22,1,7914899
10184,0,2,23,1,7914790
10185,288,3,23,32,7914746
10186,1,3,22,1,7914703
10187,1,4,22,1,7914681
10188,1,2,55,1,7914860
10189,1,2,54,1,7914645
10190,1,3,54,1,7914591
10191,1,2,23,1,7914387
10192,1,2,22,1,7914322
10193,1,3,22,1,7914300
10194,0,2,23,1,7914192
10195,0,2,22,1,7914127
10196,0,3,22,1,7914105
10197,1,1,22,1,7913973
10198,1,2,22,1,7913951
10199,1,3,22,1,7913907
10200,1,2,23,1,7913799
10201,1,2,22,1,7913734
10202,1,3,22,1,7913712
10203,1,2,23,1,7913604
10204,1,2,22,1,7913539
10205,1,3,22,1,7913517
10206,1,2,23,1,7913409
10207,1,2,22,1,7913344
10208,1,3,22,1,7913322
10209,1,4,22,1,7913256
10210,1,5,22,1,7913190
10211,0,4,23,1,7913082
10212,0,2,23,1,7913019
10213,0,3,22,1,7912975
10214,1,3,22,1,7912931
10215,0,2,22,1,7912799
10216,0,3,22,1,7912777
10217,0,3,23,1,7912712
10218,0,2,22,1,7912602
10219,0,3,22,1,7912580
10220,0,3,22,1,7912514
10221,0,2,22,1,7912404
10222,0,3,22,1,7912382
10223,16588,1,0,22,7912228
10224,28732,1,0,22,7928816
10225,2624,1,22,64,7957548
10226,35520,1,22,64,7936302
10227,18568,1,64,22,7957972
10228,640,1,22,64,7968366
10229,1984,1,22,64,7968654
10230,101,1,22,1,7969670
