jobid,node_hours,queue_state,load,#nodes,rem_node-hours
15449,36,1,4,4,13615626
15450,0,1,4,1,13614742
15451,4,1,4,2,13614690
15452,172948,1,4,4,13614558
15453,144,1,8,6,13786582
15454,1086,1,8,6,13782190
15455,36,1,8,6,13780188
15456,24,1,8,6,13780144
15457,36,1,8,4,13780048
15458,0,1,8,1,13761316
15459,6,1,8,2,13761212
15460,30,1,8,6,13760946
15461,36,1,8,4,13736184
15462,0,1,8,1,13732628
15463,4,1,8,2,13732524
15464,24,1,8,2,13732264
15465,36,1,8,2,13731664
15466,4,1,8,4,13731220
15467,4,1,8,4,13727712
15468,4,1,8,4,13724564
15469,6,1,8,2,13722344
15470,108,1,10,2,13721270
15471,4,1,10,4,13715922
15472,4224,1,8,128,13715448
15473,24,1,8,4,13719152
15474,1312,1,8,32,13719096
15475,2208,1,8,32,13718816
15476,896,1,8,32,13720304
15477,4,1,8,4,13719944
15478,4,1,12,4,13718684
15479,4,1,8,4,13717232
15480,214,1,8,2,13716612
15481,4224,1,8,128,13715082
15482,1344,1,8,32,13718626
15483,24,1,8,6,13718562
15484,36,1,14,4,13718538
15485,0,1,8,1,13718448
15486,2208,2,8,32,13718392
15487,4,1,40,2,13720544
15488,6,1,8,2,13718940
15489,216,1,8,6,13718362
15490,24,1,8,6,13717338
15491,336,1,8,6,13717266
15492,54,1,14,6,13717546
15493,24,1,8,6,13716816
15494,24,1,8,6,13716656
15495,44,1,14,2,13716464
15496,24,1,10,6,13716448
15497,1664,2,10,64,13716388
15498,1600,1,8,64,13717106
15499,24,1,8,6,13718450
15500,32,1,8,8,13718138
15501,224,1,8,16,13718002
15502,288,1,8,32,13717938
15503,4096,1,8,128,13717970
15504,82,1,8,2,13721626
15505,140,1,8,2,13721396
15506,6,1,8,2,13720608
15507,52,1,8,2,13720550
15508,18,1,10,6,13720250
15509,374,1,8,2,13720022
15510,18,1,10,6,13720340
15511,3840,1,10,128,13719138
15512,36,1,8,4,13722352
15513,0,1,8,1,13702604
15514,4,1,8,2,13702500
15515,768,1,136,128,13702232
15516,72,1,8,6,13675016
15517,36,1,14,4,13674752
15518,0,1,8,1,13674608
15519,6,1,8,2,13674504
15520,846,1,8,6,13674238
15521,78,1,8,6,13673116
15522,60,1,8,6,13673034
15523,54,1,8,6,13672358
15524,24,1,8,6,13671500
15525,18,1,8,6,13670844
15526,18,1,8,6,13669966
15527,0,1,8,6,13667832
15528,78,1,8,6,13666568
15529,24,1,8,6,13666294
15530,4,1,8,4,13665982
15531,4,1,8,4,13665474
15532,4,1,8,4,13665430
15533,840,2,8,6,13664958
15534,4,1,14,4,13665762
15535,0,1,14,6,13665668
15536,72,1,14,6,13664758
15537,30,1,8,6,13663878
15538,30,1,8,6,13662020
15539,28,1,8,2,13659090
15540,0,1,10,1,13658142
15541,1,2,10,1,13658052
15542,23,2,8,1,13658004
15543,34,1,9,2,13657980
15544,82,1,8,2,13657960
15545,92,1,8,2,13657504
15546,33,1,10,1,13657540
15547,27,1,11,1,13657393
15548,22,2,11,1,13657363
15549,132,1,11,2,13657334
15550,728,1,8,2,13657184
15551,33,1,10,1,13657376
15552,29,1,11,1,13655999
15553,22,2,11,1,13655977
15554,30,1,10,6,13655644
15555,33,1,10,1,13654224
15556,35,2,10,1,13654024
15557,22,2,11,1,13654027
15558,292,1,11,2,13653971
15559,30,1,13,6,13654131
15560,33,1,10,1,13653939
15561,27,1,11,1,13653262
15562,22,2,11,1,13653232
15563,33,1,8,1,13652719
15564,27,1,9,1,13652384
15565,22,2,9,1,13652360
15566,80,1,8,2,13652089
15567,1320,1,8,2,13651625
15568,33,1,10,1,13652857
15569,27,1,11,1,13652390
15570,22,2,11,1,13652360
15571,12,2,12,1,13652354
15572,19,2,13,1,13652331
15573,24,1,10,6,13652016
15574,30,1,10,6,13650960
15575,36,1,10,6,13650080
15576,30,1,10,6,13649666
15577,32,1,10,4,13648406
15578,0,1,10,1,13648238
15579,4,1,10,2,13648148
15580,30,1,10,2,13647762
15581,374,1,10,2,13647072
15582,42,1,8,6,13645772
15583,24,1,8,2,13645614
15584,48,1,8,4,13645478
15585,72,1,8,6,13645398
15586,104,1,8,8,13645342
15587,130,1,8,10,13645318
15588,168,1,8,12,13645320
15589,196,1,8,14,13645360
15590,224,1,8,16,13645428
15591,71,1,24,1,13645516
15592,288,1,25,18,13645299
15593,65,2,9,1,13645274
15594,64,3,9,1,13645265
15595,58,1,29,1,13645636
15596,44,2,29,1,13645607
15597,280,1,13,20,13645534
15598,352,1,13,22,13645671
15599,360,1,12,24,13645802
15600,546,1,34,26,13645162
15601,30,1,34,6,13645700
15602,448,1,8,28,13645076
15603,480,1,8,30,13645372
15604,512,1,8,32,13645676
15605,680,1,8,34,13646148
15606,612,1,8,36,13646676
15607,836,1,8,38,13647120
15608,760,1,8,40,13647788
15609,798,1,8,42,13648180
15610,42,1,50,6,13648938
15611,792,1,8,44,13648330
15612,4,1,52,2,13649042
15613,828,1,8,46,13648550
15614,912,1,8,48,13649362
15615,900,1,8,50,13650106
15616,988,1,8,52,13650838
15617,18,1,60,2,13651658
15618,1134,1,10,54,13650716
15619,1232,1,62,56,13651604
15620,30,1,64,6,13651820
15621,14,1,64,2,13651146
15622,1102,1,10,58,13650726
15623,1320,1,8,60,13651778
15624,662,1,68,1,13652930
15625,1426,1,9,62,13652164
15626,618,2,9,1,13652156
15627,714,3,9,1,13652138
15628,707,1,73,1,13654850
15629,706,2,73,1,13654778
15630,1408,1,13,64,13655679
15631,1452,1,13,66,13656515
15632,1768,1,13,68,13657876
15633,1820,1,13,70,13659267
15634,30,2,13,6,13658929
15635,1656,1,13,72,13660013
15636,22,1,85,2,13661552
15637,30,1,87,6,13661064
15638,1924,1,13,74,13660039
15639,48,1,87,2,13661872
15640,30,1,89,6,13661398
15641,2204,1,15,76,13659915
15642,70,2,15,1,13659870
15643,64,2,14,1,13659884
15644,63,3,14,1,13659870
15645,56,3,91,1,13662032
15646,45,2,92,1,13662026
15647,2340,1,18,78,13661105
15648,30,1,96,6,13663319
15649,2160,1,13,80,13660690
15650,2378,1,13,82,13662330
15651,2352,1,13,84,13664617
15652,2322,1,13,86,13666098
15653,2728,1,13,88,13667874
15654,70,2,13,1,13667796
15655,63,2,14,1,13667840
15656,62,3,14,1,13667801
15657,53,3,15,1,13667822
15658,45,2,104,1,13670452
15659,2880,1,18,90,13669062
15660,2576,1,13,92,13669589
15661,2632,1,13,94,13671593
15662,3072,1,12,96,13671711
15663,2646,1,11,98,13672295
15664,69,1,109,1,13674809
15665,63,1,110,1,13672371
15666,62,2,12,1,13672261
15667,2900,3,12,100,13672225
15668,3672,1,11,102,13674796
15669,54,1,113,6,13678303
15670,68,1,110,1,13676342
15671,62,1,111,1,13675310
15672,61,2,111,1,13674980
15673,3432,3,9,104,13674647
15674,3074,1,11,106,13678099
15675,3564,1,8,108,13678881
15676,30,2,8,6,13678841
15677,4290,1,8,110,13682099
15678,30,1,118,6,13686277
15679,3472,1,8,112,13684015
15680,3192,1,8,114,13687143
15681,3712,1,8,116,13689983
15682,3304,1,8,118,13693239
15683,3600,1,8,120,13696223
15684,1,1,128,1,13699743
15685,0,1,128,1,13697696
15686,0,2,128,1,13697568
15687,4026,1,8,122,13696744
15688,4216,1,8,124,13700386
15689,4536,1,8,126,13704210
15690,1,1,134,1,13708610
15691,0,1,134,1,13706467
15692,24,2,134,1,13706333
15693,4480,1,9,128,13705436
15694,4030,1,8,130,13709503
15695,0,1,138,1,13713421
15696,1,1,8,1,13709403
15697,18,2,8,1,13709395
15698,4224,3,8,132,13709371
15699,13,1,140,1,13713326
15700,12,2,140,1,13710246
15701,12,3,140,1,13709826
15702,4556,4,8,134,13709374
15703,38,2,8,1,13709130
15704,32,2,9,1,13708624
15705,31,3,9,1,13708600
15706,0,2,8,1,13708289
15707,36,2,8,4,13702937
15708,6,2,8,2,13702453
15709,44,2,8,2,13702307
15710,18,2,8,2,13701999
15711,12,2,8,2,13701497
15712,36,2,8,4,13701021
15713,0,2,8,1,13700585
15714,4,2,8,2,13700473
15715,104,2,8,2,13700173
15716,22,2,8,2,13699381
15717,52,2,8,2,13699283
15718,36,2,8,2,13697215
15719,6,2,8,2,13697003
15720,82,2,8,2,13696801
15721,62,2,8,2,13696531
15722,44,2,8,2,13696233
15723,90,2,8,2,13695549
15724,0,2,8,1,13695159
15725,36,2,8,4,13678591
15726,4,2,8,2,13678227
15727,36,2,8,4,13678071
15728,0,2,8,1,13672411
15729,4,2,8,2,13672307
15730,8580,2,8,22,13672039
15731,10494,2,8,22,13675155
15732,7392,2,8,22,13681769
15733,2090,2,8,22,13686393
15734,0,3,8,1,13686337
15735,36,3,8,4,13676297
15736,4,3,8,2,13675877
15737,110,3,8,2,13675729
15738,96,3,8,2,13675055
15739,580,3,8,2,13674663
15740,576,3,8,2,13672131
15741,36,4,8,4,13671003
15742,0,4,10,1,13671539
15743,4,4,10,2,13670919
15744,192,4,8,2,13669037
15745,220,4,8,2,13668333
15746,372,3,140,2,13671045
15747,4352,4,6,136,13668697
15748,2530,2,8,22,13670141
15749,422,2,28,2,13670323
15750,390,3,28,2,13670183
15751,2200,2,10,22,13670631
15752,10582,2,10,22,13671771
15753,144,2,28,2,13679987
15754,360,2,28,2,13677275
15755,390,3,28,2,13677191
15756,2552,2,8,22,13671793
15757,8074,2,6,22,13672035
15758,2530,2,6,22,13677853
15759,2552,2,6,22,13679627
15760,356,2,28,2,13682131
15761,2596,2,8,22,13679979
15762,2244,2,8,22,13681567
15763,102,2,28,2,13683651
15764,16,3,28,2,13682083
15765,18414,2,10,22,13681717
15766,90,2,28,2,13700011
15767,330,2,28,2,13697413
15768,322,3,28,2,13697329
15769,332,4,28,2,13697329
15770,0,5,28,2,13697329
15771,0,5,30,1,13697491
15772,36,5,30,4,13693771
15773,4,4,30,2,13692615
15774,10,2,28,2,13683377
15775,330,2,28,2,13682771
15776,320,3,28,2,13682743
15777,412,4,28,2,13682715
15778,332,5,28,2,13682715
15779,408,6,28,2,13682715
15780,332,7,28,2,13682715
15781,388,8,28,2,13682715
15782,332,9,28,2,13682715
15783,456,10,28,2,13682715
15784,332,11,28,2,13682715
15785,358,12,28,2,13682715
15786,316,13,28,2,13682631
15787,328,14,28,2,13682631
15788,324,15,28,2,13682631
15789,330,16,28,2,13682603
15790,348,17,28,2,13682603
15791,330,18,28,2,13682603
15792,330,19,28,2,13682603
15793,330,20,28,2,13682603
15794,368,21,28,2,13682603
15795,2266,20,8,22,13678165
15796,2530,20,8,22,13679511
15797,36,19,30,4,13681381
15798,0,19,30,1,13680787
15799,4,19,30,2,13680487
15800,2508,19,8,22,13679277
15801,2816,19,6,22,13680791
15802,5148,18,8,22,13682861
15803,7392,17,6,22,13685751
15804,15004,15,8,22,13687637
15805,11418,11,8,22,13686339
15806,7348,3,20,22,13687221
15807,19998,2,6,22,13687147
15808,0,2,28,1,13707085
15809,36,2,28,4,13697761
15810,4,2,28,2,13696313
15811,14058,2,6,22,13692739
15812,36,2,28,4,13706713
15813,0,2,28,1,13701457
15814,4,2,28,2,13701205
15815,23166,2,6,22,13697683
15816,2596,2,6,22,13714477
