jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10001,2272,1,1040,32,4029600
10002,464,1,1016,8,4031872
10003,2304,1,1016,32,4032336
10005,1728,1,1008,32,4033432
10006,480,1,936,8,4034808
10007,4128,4,944,16,24689944
10008,12320,4,1056,32,24846224
10009,2592,1,1072,32,4033872
10010,448,1,1096,8,4035896
10012,336,1,1064,8,4034168
10014,472,1,1056,8,4034432
10016,2464,1,1064,32,4034696
10017,520,1,1088,8,4037144
10019,528,1,1048,8,4034760
10020,1792,1,1040,32,4035240
10021,504,1,1064,8,4035400
10022,2560,1,1032,32,4035712
10023,296,1,1064,8,4038272
10026,296,1,1088,8,4037624
10027,360,1,1032,8,4036384
10028,1824,1,1056,32,4036648
10029,272,1,1096,8,4038296
10030,368,1,1088,8,4038128
10031,4256,1,1104,32,4037176
10032,2144,1,1096,32,4040336
10033,504,1,1128,8,4042256
10034,320,1,1072,8,4038280
10035,456,1,1064,8,4038600
10037,6272,1,1104,32,4038896
10038,336,1,1112,8,4044984
10039,3264,1,1104,32,4044760
10040,936,1,1136,8,4045744
10042,416,1,1072,8,4041000
10043,520,2,1064,8,24696752
10044,6272,1,1072,32,4041128
10045,8320,1,1104,64,364400
10046,728,1,1096,8,4045832
10047,464,1,1104,8,4046112
10048,632,2,1056,8,24675488
10049,672,1,1008,8,4042368
10050,392,1,1088,8,4042512
10051,2688,1,1040,32,4041880
10053,464,1,1016,8,4043480
10054,480,1,1056,8,4042360
10056,512,1,1056,8,4042808
10057,3136,1,936,32,4042872
10058,704,2,1072,8,24637872
10061,464,2,1040,8,24638056
10063,464,3,1040,8,24638056
10064,464,1,1008,8,4043200
10065,480,2,1016,8,24638936
10066,440,3,1016,8,24638856
10067,536,2,1096,8,24639328
10068,576,3,1096,8,24639200
10070,688,2,1064,8,24638560
10071,408,2,1064,8,24639248
10072,1360,3,1064,8,24639192
10073,808,4,1064,8,24639080
10074,1384,2,1056,8,24641544
10075,384,2,1056,8,24641312
10076,376,2,1056,8,24640592
10077,424,2,1040,8,24640208
10078,512,3,1040,8,24640208
10079,488,3,1048,8,24640632
10080,336,1,1072,8,4043224
10081,4416,2,1040,64,24640240
10082,352,3,1040,8,24640240
10083,14704,1,1048,8,4043552
10085,4608,3,1056,64,24640424
10086,4160,4,1056,64,24640424
10087,4032,5,1048,64,24640424
10088,4224,6,1048,64,24640424
10089,4224,7,1048,64,24640424
10090,4672,8,1048,64,24640424
10091,3968,9,1048,64,24640424
10092,4352,10,1048,64,24640424
10093,384,11,1048,8,24640424
10094,392,11,1056,8,24640808
10095,1512,11,1048,8,24640816
10096,1072,12,1048,8,24640816
10097,856,11,1064,8,24643400
10098,768,12,1064,8,24643304
10100,944,12,1072,8,24643536
10101,680,13,1072,8,24643464
10102,576,14,1072,8,24643248
10103,664,15,1072,8,24643080
10104,576,16,1072,8,24641784
10105,432,1,1072,8,4051560
10107,184,13,1080,8,24642560
10109,296,1,1064,8,4050816
10110,4712,1,1088,8,366320
10111,376,1,1096,8,4050832
10112,456,1,1064,8,4050264
10113,504,11,1080,8,24641480
10114,584,1,1088,8,4049512
10116,688,1,1080,8,4048976
10117,344,11,1088,8,24641624
10118,560,11,1096,8,24641968
10119,512,1,1104,8,4049112
10121,328,1,1080,8,4048088
10122,584,11,1096,8,24641928
10123,528,1,1104,8,4047824
10124,856,1,1088,8,4047272
10125,504,1,1096,8,4048088
10126,496,11,1104,8,24642424
10127,760,12,1096,8,24642424
10128,936,1,1080,8,4046336
10129,552,11,1080,8,24643056
10130,560,12,1080,8,24643056
10131,536,13,1080,8,24643056
10132,552,14,1080,8,24643056
10134,1128,1,1080,8,4045504
10136,1416,1,1072,8,366432
10137,2160,2,1064,8,366432
10138,7296,3,1064,64,366432
10139,632,1,1080,8,4045536
10140,448,1,1088,8,4046168
10142,456,11,1040,8,24643712
10143,560,12,1040,8,24643712
10145,2864,2,1040,8,366560
10146,2088,2,1048,8,369424
10147,784,1,1056,16,4045984
10148,6080,11,1072,64,24643960
10149,518592,1,1072,8,2568
10150,470312,2,1072,8,2568
10151,114888,3,1072,8,2568
10152,39192,4,1072,8,2568
10153,518616,5,1072,8,2568
10154,155128,6,1072,8,2568
10155,518600,6,1080,8,521160
10156,518600,7,1080,8,521160
10159,376,11,984,8,24648376
10165,688,1,1048,8,4046032
10166,14656,1,1064,8,4046504
10168,44480,5,1080,40,24655672
10169,8192,6,1080,64,24652728
10178,5504,3,1064,64,24678744
10180,288,1,1072,8,4047200
10181,480,1,1080,8,4047488
10182,336,1,1072,8,4047968
10183,488,1,1072,8,4048304
10184,288,1,1072,8,4048792
10185,352,1,1080,8,4049080
10186,384,1,1072,8,4049432
10187,352,1,1080,8,4049816
10188,9088,4,1064,64,24678744
10189,1872,1,1064,8,4049784
10195,213440,5,1080,40,24678744
10196,640,1,1064,8,4050408
10197,512,1,1128,8,4050504
10205,488,1,1040,8,4050512
10206,488,1,1048,8,4050784
10207,448,1,1056,8,4051272
10212,704,3,1104,8,24809160
10213,600,4,1104,8,24809040
10214,552,5,1104,8,24808560
10215,472,6,1104,8,24808280
10217,1544,3,1048,8,24800560
10218,1016,4,1048,8,24799120
10219,744,5,1048,8,24798840
10220,632,6,1048,8,24798640
10222,14016,1,1080,64,374120
10224,1872,1,1120,8,377768
10225,1568,3,1128,8,24786904
10226,1064,4,1128,8,24786704
10227,784,5,1128,8,24786464
10228,672,6,1064,8,24786064
10229,456,3,1088,8,24785360
10230,488,4,1088,8,24785072
10231,560,5,1088,8,24784280
10232,720,6,1080,8,24783728
10234,2224,1,1048,8,374560
10238,616,3,1072,8,24765400
10244,1760,1,1016,32,4051720
10302,1344,1,1072,32,4053480
10303,1440,1,1072,32,4054824
10305,280,1,1072,8,4056264
10306,488,1,1080,8,4056544
10307,256,1,1072,8,4057032
10309,392,1,1080,8,4057288
10310,384,1,1072,8,4057680
10311,504,1,1080,8,4058064
10312,488,1,1072,8,4058568
10313,304,1,1072,8,4059056
10314,2432,1,1072,32,4059360
10315,288,1,1072,8,4061792
10316,680,1,1080,8,4062080
10317,1440,1,1080,32,4062760
10318,1632,1,1072,32,4063736
10319,2080,1,1072,32,4065368
10321,1984,1,1104,32,4067448
10322,536,1,1072,8,4069432
10323,416,1,1072,8,4069968
10324,328,1,1080,8,4070384
10325,2240,1,1104,32,4070712
10327,1632,1,1048,32,4072952
10328,1376,1,1048,32,4074584
10329,1664,1,1048,32,4075960
10331,2720,1,1048,32,4077624
10332,1920,1,1048,32,4080344
10334,1248,1,1048,32,4081080
10335,1600,1,1048,32,4082328
10339,1856,1,1040,32,4083928
10340,1632,1,1040,32,4085784
10341,2080,1,1040,32,4087416
10342,1224448,2,1040,64,24691504
10343,1792,1,1072,32,4089496
10344,1760,1,1072,32,4091288
10345,1984,1,1040,32,4093048
10346,1664,1,1040,32,4095032
10347,200,3,1040,8,24691504
10348,672,1,1040,8,4096696
10349,1008,1,1048,8,4097368
10350,688,1,1040,8,4097704
10352,2080,1,1048,8,374624
10353,14840,1,1048,8,4098392
10355,1408,1,1048,8,375640
10356,1280,1,1048,8,377048
10357,1672,1,1056,8,378328
10361,1384,1,1048,8,378720
10364,1080,1,1040,8,378984
10365,1256,1,1048,8,380064
10367,1672,1,1048,8,379728
10368,1352,1,1056,8,381400
10370,1808,1,1040,8,381080
10371,10368,2,1040,16,25864952
10372,11968,1,1064,8,4099168
10373,232,1,1064,8,382888
10374,256,1,1072,8,383120
10375,28736,2,1072,64,383072
10376,26688,3,1072,64,382992
10378,8272,3,1072,8,383144
10379,9816,4,1072,8,383112
10380,256,5,1072,8,383040
10381,256,6,1064,8,382976
10382,232,7,1064,8,382976
10383,240,8,1064,8,382976
10384,832,2,1072,16,25807432
10385,1568,1,1072,16,4110208
10386,10336,3,1072,16,25800552
10388,1280,1,1104,32,4107960
10389,1632,1,1120,32,4105992
10390,1216,1,1088,32,4106264
10392,3776,1,1144,32,4104960
10393,1408,1,1064,32,4105288
10394,3256,1,1104,8,4106696
