jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10000,2310336,24,1008,112,90224728
10004,304,25,1008,8,89606488
10011,3459200,25,1096,64,89428528
10013,267840,26,1072,64,89420048
10015,341056,27,1064,64,89372560
10018,346304,28,1096,64,89321680
10024,3459456,29,1064,64,89132576
10025,280,30,1072,8,89131728
10036,3459456,28,1072,64,88835088
10041,632,29,1104,8,88676496
10059,280,24,1048,8,88047360
10060,272,24,1040,8,87979920
10062,3458304,24,1040,64,87817904
10069,768,24,1072,8,88021872
10084,368,24,1048,8,87062024
10099,384,24,1072,8,86396400
10106,823744,25,1072,64,86244144
10115,296,25,1096,8,85916328
10120,1808,25,1080,8,85714304
10135,272,25,1080,8,85200016
10141,304,26,1048,8,84823280
10144,256,25,1056,8,84719368
10157,264,25,1064,8,84422720
10158,296,25,1064,8,84366376
10160,272,25,1056,8,84060080
10161,3328,25,1056,64,84017360
10162,288,26,984,8,83995416
10163,184,26,1048,8,83881704
10164,328,26,1048,8,83832640
10167,1120,26,1064,16,83648480
10170,272,26,1064,8,83524480
10171,288,26,1048,8,83196168
10172,960,26,1056,8,83019528
10173,264,25,1088,8,82936768
10174,272,24,1048,8,83226456
10175,5000,23,1072,8,83136456
10176,3456,23,1072,64,82986232
10177,1832,24,1072,8,82743184
10179,5008,24,1064,8,82344824
10190,2600,24,1072,8,81476024
10191,3104,24,1080,32,81356624
10192,344,25,1072,8,81249368
10193,2600,25,1064,8,81037872
10194,288,25,1072,8,80532952
10198,464,25,1136,8,79696432
10199,5000,26,1072,8,79646656
10200,4992,25,1136,8,79583336
10201,280,24,1152,8,79489544
10202,280,24,1120,8,79325440
10203,272,24,1120,8,79195768
10204,296,24,1120,8,79095848
10287,3712,18,960,64,89543136
10288,272,13,1056,8,99239424
10289,6095488,13,1056,128,96907600
10290,3011712,14,1056,64,96501584
10291,264,15,1056,8,96440848
10292,272,15,1056,8,96324632
10293,264,15,1056,8,95977960
10294,264,15,1056,8,95899184
10295,264,15,1056,8,95393592
10296,272,15,1056,8,95074368
10297,264,15,1056,8,94914896
10298,272,15,1056,8,94782872
10299,264,15,1056,8,94063464
10300,272,14,1072,8,94728384
10301,264,14,1072,8,94486128
10304,280,14,1072,8,92345192
10308,264,14,1072,8,91886704
10320,51840,14,1072,48,89246296
10326,4608,13,1072,64,89270664
10330,7859968,13,1048,256,96369416
10333,6931200,14,1080,128,96234248
10336,30976,15,1048,256,95773448
10337,2333440,16,1048,256,94053128
10338,47424,17,1048,64,93686536
10351,320,18,1040,8,87972616
10354,296,18,1056,8,87485256
10358,296,18,1048,8,86094960
10360,3712,18,1048,8,85845304
10366,5000,18,1056,8,84442200
10377,304,18,1072,8,82264880
10391,3168,18,1112,32,81025824
10398,3168,18,1104,32,80665760
10400,3232,18,1072,32,80510240
10404,3232,18,1096,32,80167968
10418,3200,18,1112,32,79712032
10425,2798320,18,1120,112,79189888
10429,2944,19,1088,32,78580288
10540,22208,22,1136,32,88319392
10544,209152,22,1120,128,87662144
10545,3507600,23,992,240,87133112
10546,1966720,24,992,64,86571384
10547,3703424,25,992,64,84079520
10548,3520,26,992,64,83968568
10549,752,26,992,16,83692296
10550,608,26,992,16,83645344
10552,1376,26,1016,8,83423512
10556,68544,26,992,32,83169056
10558,7787760,26,960,240,81481776
10559,280,26,1136,8,84460880
10574,43728,10,1120,48,107809840
10575,42240,10,1072,48,105682944
10582,20448,10,1104,32,102475840
10583,66784,10,1120,32,102307920
10585,288136,10,1096,8,99613008
10586,264912,10,1096,8,99706608
10591,469792,10,1104,8,98258416
10598,3898240,11,928,64,92710704
10599,34416,12,928,48,88494624
10601,5952,11,920,48,86720880
10603,8880,10,1112,48,94261504
10604,9120,10,1064,48,93824184
10605,2736,10,1048,48,93501848
10606,354560,10,952,80,92728560
10607,38448,10,1032,48,92630480
10608,488,10,1032,8,90970928
10609,416,10,1032,8,90462416
10610,1728,10,1032,8,90117832
10611,20208,10,1032,48,89377560
10612,1155264,10,888,64,88132992
10615,2980608,8,1080,64,90955656
10616,3561280,9,1080,64,90745992
10618,178848,8,1104,48,88953720
10622,3671872,9,1104,64,86668080
10640,2456832,10,1104,256,83955552
10643,2306944,10,1088,64,83554776
10644,2640,9,1104,48,83461888
10687,1535744,7,840,112,78874880
10689,5934720,6,456,240,81792768
10690,7379072,5,1080,128,85766144
10691,3011264,6,1080,64,85428496
10692,3920,7,1080,56,85319456
10695,75328,3,1104,64,92148304
10696,3907968,4,1040,64,88342320
10697,7378816,5,1040,128,87966000
10698,7728,6,1040,112,87915040
10699,3948000,7,1040,112,85516560
10701,2816256,7,1008,256,80819776
10704,3542592,7,1032,64,85603696
10708,6225216,7,888,96,87827344
10712,312,8,824,8,85928512
10716,352,7,1016,8,87628424
10725,504,7,1016,8,86775176
10731,275800,7,1056,8,85074864
10732,1008,8,1048,16,84727248
10735,119296,8,1032,64,84296496
10737,261016,9,1040,8,84213776
10738,1008,10,1032,16,84070144
10739,469984,10,1032,8,83807952
10749,304,11,1040,8,83284560
10756,5948640,11,1040,240,82672736
10757,2988544,12,1032,64,82638896
10761,3668416,13,1040,64,82492256
10773,6400,14,976,256,80864176
10774,712192,15,968,256,80721296
10775,17520,16,968,240,80636320
10777,713216,17,968,256,80476144
10781,1603296,18,888,48,79435648
10786,1682304,19,952,48,79241216
10791,3026432,20,896,256,79041824
10799,1681920,21,824,48,78586480
10805,56264,22,856,8,78374144
10810,15616,23,832,128,78225104
10921,911360,14,944,256,100991288
10924,998656,15,896,64,99253160
10925,2307072,16,888,64,95239496
10927,29520,17,888,240,92889024
10935,7728,18,808,112,87678232
10940,43264,13,824,256,86312376
10957,7787280,11,856,240,97241304
10964,6000,12,840,240,95880944
10968,536,13,920,8,95245920
10969,1536,13,920,8,95009032
10970,5760,13,920,240,94794160
10971,960,14,920,8,94632280
10974,264,14,936,8,93911312
10977,3013824,14,944,48,93315744
10979,3112752,15,960,48,93260648
10981,1286256,16,976,48,93143640
10985,29216,17,984,32,92598928
10987,440,18,984,8,92468288
10990,440,18,776,8,91911216
10993,360,18,784,8,91826256
10995,336,18,816,8,91786112
10998,6400,18,776,256,91541960
11000,280,19,784,8,91353104
11002,7296,19,784,128,91257736
11021,176,19,744,8,90001936
11022,360,20,744,8,89987096
11023,3706624,18,832,64,93128232
11025,7456,18,928,32,92677024
11027,50888,18,912,8,92010752
11032,431104,18,920,256,91487984
11037,496,19,920,8,90923368
11050,320,19,920,8,89733144
11051,336,19,920,8,89674904
11053,344,19,936,8,89583984
11054,344,19,936,8,89548704
11057,176,19,936,8,89378736
11064,344,19,936,8,88988400
11068,336,19,896,8,88598840
11070,9680,19,896,80,88511816
11073,232,19,912,8,88310776
11074,8256,20,896,64,88265656
11075,336,20,960,8,88138552
11082,320,20,960,8,87945032
11083,312,20,912,8,87876712
11086,440,20,912,8,87596704
11089,360,17,832,8,89619232
11090,432,16,960,8,89593960
11095,1576,15,984,8,89775712
11099,22512,14,976,16,92028968
11101,50000,13,840,8,94670728
11109,23392,12,832,16,95178240
11110,3280,12,840,16,95179288
11111,3344,12,808,16,94880648
11113,168,12,808,8,94810552
11116,168,12,832,8,94550960
11117,168,12,824,8,94500664
11118,2000,12,832,40,94451032
11119,56448,13,824,128,94437064
11122,187008,12,808,128,94098448
11125,5440,12,936,32,94028424
11126,29952,13,936,128,93598520
11134,697216,13,808,128,92926800
11135,697344,13,936,128,93562456
11139,960,14,904,16,93023912
11144,296,14,896,8,92144040
11149,2974592,14,896,64,90719696
11152,309920,15,912,80,89557712
11153,27520,16,896,16,89515472
11165,232,16,808,8,88372608
11166,288,16,808,8,88000360
11167,27424,16,816,16,87978248
11168,304,16,824,8,87982304
11169,1120,16,824,8,87855344
11170,256,16,832,8,87818416
11171,9464,16,824,8,87726064
11172,286784,16,832,32,87722408
11173,64352,17,832,16,87687216
11174,1376,18,832,32,87618824
11175,1568,18,808,32,86867776
11176,4192,18,808,8,86787424
11177,10592,18,816,32,86659136
11178,9480,18,808,8,86331192
11179,6672,16,848,8,86060080
11181,15976,16,848,8,85225328
11183,848,15,856,16,84273120
11184,832,14,856,16,84436688
11185,864,14,776,16,84267176
11186,240,14,776,8,84214256
11187,286880,14,776,16,84105632
11188,683904,14,784,128,84329744
11189,912,15,784,16,84203792
11190,232,15,784,8,84146320
11191,880,15,784,16,84080296
11192,9504,16,784,8,83972712
11193,864,15,792,16,83926240
11194,880,15,792,16,83842776
11195,5552,14,856,16,84418648
11196,864,14,872,16,84338544
11197,832,14,856,16,84103544
11198,927616,14,848,128,83867752
11199,9608,15,848,8,83791000
11200,832,16,848,16,83739176
11201,880,16,848,16,83562888
11204,848,13,896,16,80526176
11205,832,13,896,16,80447248
11207,2887168,13,848,128,79679056
11208,5096576,14,848,128,79103936
11209,3546112,13,848,64,82740032
11212,923008,13,896,128,88162512
11213,2075136,14,848,32,86273088
11214,448,15,848,8,86021088
11215,432,15,848,8,85859536
11216,232,15,848,8,85771168
11220,392,15,848,8,85492200
11221,456,15,848,8,85338592
11223,320,14,912,8,86016392
11224,1120,15,912,8,85832120
11228,5000,15,912,8,85018520
11230,168,15,912,8,84649520
11231,29008,15,912,8,84372488
11233,4248,16,912,72,83963288
11237,456,17,912,8,83445848
11238,672,17,912,8,83373440
11242,922624,14,912,128,84833024
11245,2669664,13,904,48,85302936
11246,1827072,14,856,128,84798320
11254,5187840,15,864,96,83833560
11255,5063232,16,864,96,83821960
11257,1584,17,848,72,83651672
11262,3321304,16,896,56,85048024
11263,1008,17,896,8,84968344
11265,1016,18,896,8,84961624
11266,3231928,17,912,56,84957888
11268,927616,18,896,128,84895416
11270,9832,19,896,8,84557496
11271,6880,19,904,8,84351808
11284,23824,19,896,16,83342848
11285,456,19,832,8,83167344
11287,448,19,840,8,82967704
11313,10248,19,824,8,82034792
11314,5183040,12,912,80,84321936
11315,4720,13,912,80,84311224
11316,4160,14,656,80,84305824
11317,3227392,14,864,256,89473744
11318,23968,15,864,16,89445624
11319,400,15,880,8,89421936
11323,5956560,16,880,240,89261880
11327,266152,16,904,8,89094576
11330,250024,16,912,8,89291128
11332,52896,17,912,8,89272408
11334,336,18,880,8,89147408
11335,443760,18,880,8,89073744
11336,7787760,19,880,240,88998856
11349,23728,20,872,16,88387616
11353,216,20,880,8,88118152
11354,224,20,864,8,87931392
11356,23616,20,880,16,87515440
11359,1696,20,896,32,87439208
